word,frequency_classification,definition,word_types,word_endings,sentences
ácsol,3,Ácsmunkát végez.,ige,,"A munkások egész nap ácsoltak.,Ácsmunkával faanyagból készít valamit.,Állványzatot ácsol a ház mellé."
ácsorog,4,Tétlenül vagy várakozva hosszabb ideig áll.,ige,,"Ráérősen ácsorog a kapu előtt.,Húsz percig ácsorgott a villamosmegállóban."
ad,5,"Átnyújt, eljuttat, rendelkezésre bocsát valakinek valamit.",ige,,"Adjatok több teát a gyereknek!, Kezet ad : kezet nyújt.,Találkozáskor kezet adtak egymásnak.,a) Adományoz.,Ő is ad valamennyit jótékony célra.,b) Biztosít.,Termet ad a műsorhoz.,c) Kapcsol.,Adom a hívott felet.,d) Pénzért árul.,Hogy adja a tojást?,e) Fizet.,Foglalót ad a házra.,f) Elnevez.,Nevet ad a gyereknek.,(Ruhát) húz valakire, valamire.,Pizsamát ad a gyerekre.,Hozzátesz valamit valamihez.,Három tojást ad a piskótatésztához.,Biztosít valamit, lehetőséget teremt valakinek.,Jogot ad a fellebbezésre.,Helyet ad a padon egy idős úrnak.,Munkát ad a friss diplomásnak.,Időt ad a felkészülésre., Órát ad : magántanítás során oktat.,Órát ad német nyelvből.,Létrehoz, eredményez, okoz, előidéz valamit.,A kísérlet jó eredményt adott.,Ez a duda túl éles hangot ad.,Jelt ad az indulásra.,(Terméket, energiát) szolgáltat.,Ez a tehén napi 10 liter tejet ad.,A kandalló kellemes meleget ad.,Rendez valamit.,A követség ma este fogadást ad.,Műsoron van, játsszák.,Mit adnak ma az Operában?,(Televízió- vagy rádiócsatorna) közvetít valamit.,Ezt a mérkőzést a tévé is adja.,Taníttat, küld, enged valakit valaminek.,Műszerésznek adta a fiát.,Egy orvoshoz adja feleségül a lányát.,(Kifejezésekben:) Kinyilvánít, közöl valamit., Írásba ad : leír.,Adja kérem írásba az ígéretét!,| Szavát adja : a) állítja, hogy igaz b) megígéri.,(Kifejezésben:) Bizonyos cselekvést végez, teljesít.,Választ ad : válaszol.,Hétfőig kell választ adnom a munkaajánlatra.,(Fenyegetésként:) Ad valakinek : megbünteti.,Majd ad neked!,Ad valakire, valamire : fontosnak tartja.,Az ő véleményére sokat adok.,Túl sokat ad a külsejére."
adag,4,Meghatározott mennyiség valamiből.,fn,"~ot,~ja","Az új mosóporból kisebb adag is elegendő.,(Jelzőként:) Evett egy nagy adag somlói galuskát."
adalék,4,"(választékos) Kiegészítő részlet, adat.",fn,"~ot,~a",Újabb adalékokkal járult hozzá a kérdés tisztázásához.
ádámcsutka,1,Férfiak nyakán előredudorodó porc.,fn,,"Ahogy nyelt, ugrott egyet az ádámcsutkája."
ádámkosztüm,1,"(tréfás) Ádámkosztümben : meztelenül, ruhátlanul.",fn,,"Ádámkosztümben állt ott, és szégyellte magát."
adandó,4,"(választékos) Esetleges, későbbi.",mn,,"Adandó alkalommal : ha alkalom lesz rá.,Adandó alkalommal meglátogatlak benneteket."
adás,4,"Az a cselekvés, hogy valaki valamit ad.",fn,"~t,~a","Nagy dolog az adás képessége.,Karácsonykor ajándék adásával is kifejezzük szeretetünket a hozzánk közel állóknak.,Rádió-, illetve televízióközvetítés, műsor.,Az adásban előforduló hanghibáért elnézésüket kérjük.,Adásunkat szombat délután megismételjük."
adásvétel,4,"Valamely dolog eladásának, illetve megvételének jogügylete.",fn,,Gyorsan lebonyolították a ház adásvételét.
adat,5,"Valakire, valamire jellemző (nyilvántartott) tény, részlet.",fn,"~ot,~a","Az értékbecsléshez szükség van a lakás pontos adataira.,A nyomozók fontos adatokat derítettek ki a feltételezett elkövetőkről.,Személyi adatok: személyről hivatalosan nyilvántartott legfontosabb tények összessége.,Beírta az űrlapra személyi adatait.,Bizonyíték.,Újabb terhelő adatokat sorolt fel a vádlott ellen.,Számszerű eredmény.,Ellenőrzi a mérési adatokat.,Vizsgálati, kutatási alapul szolgáló tény.,A nyelvjárásgyűjtőktől kapott adatokat a nyelvészek előbb rendszerezik, azután értékelik, elemzik."
adatbank,3,"(Számítógépen tárolt) információk, adatok rendezett gyűjteménye.",fn,,"A központi egészségügyi adatbank segítségével pillanatok alatt megállapítják, hogy az elhunyt veséje mely betegek számára alkalmas átültetésre."
adatlap,3,(hivatalos) Adatoknak a felvételére szolgáló űrlap.,fn,,"Kitöltötte az adatlapot, s a négyes ablaknál beadta az ügyintézőnek."
ádáz,4,"Ellenséges indulatú (személy, állat), illetve rá jellemző.",mn,"~at,~an,vagy,~ul","Az ádáz ellenség földúlta az egész országot.,Ádáz haraggal fordult feléje."
addig,4,"A megjelölt (távolabbi) helyig, ideig.",hsz,,"Csak addig menjetek, ameddig ismeritek a járást!,Addig halogatta az indulást, hogy végül elkésett."
adjonisten,1,"(népi) (Köszöntésként:) „Adjonisten, Jézusunk, Jézusunk!",fn,,Három király mi vagyunk” (József A.: Betlehemi királyok).
adó,3,"Rádió- vagy tévéadások információit hordozó, nagyfrekvenciás rezgéseket előállító berendezés.",fn,"~t,~ja",A Kossuth adó URH-sávon is sugároz műsort.
adó,5,Rendszeres állami bevétel.,fn,"~t,~ja",A jövedelem után kötelező adót fizetni.
adogat,4,Darabonként vagy több részletben egymás után átad.,ige,,"A kőműves keze alá adogatja a téglát.,Apránként zálogba adogatja a holmiját.,Több játékos a labdát egymás között adja-kapja.,A csatárok addig adogattak, míg az ellenfél játékosai közbe nem léptek.,A labda elütésével ismételten elindítja, kezdeményezi a játékot.,A két teniszező közül most ő adogat."
adoma,2,"(választékos) Rövid, vidám, csattanós történet.",fn,"*k,*t,*ja",Esténként borozgatás közben adomákat meséltek egymásnak.
adomány,4,"Jótékony támogatás, hozzájárulás.",fn,"~t,~a","Adományokat gyűjt.,Adománnyal segíti a szegényeket."
adós,5,"Olyan (személy), aki valakinek tartozik.",mn,"~at,vagy,~t,~an","Nem maradunk neki adósak a válasszal : jól odamondogatunk neki.,| Adós valakinek valamivel : tartozik vele.,Adós vagy nekem egy látogatással., Sokkal vagyok adósa : sok hálával tartozom neki.,| Nem maradok adósa : megtorolom a sérelmet.,(Főnévi használatban:) Hogy visszaszerezhesse pénzét, be kellett perelnie adósát."
adósság,5,Tartozás.,fn,"~ot,~a","Hatvanezer forint adóssága van.,Sok adósságot csinál."
adott,5,"Szóban forgó, (akkor és ott) létező.",mn,"~at,~an","Az adott körülmények között ez volt a legjobb megoldás.,Egy bizonyos, meghatározott.,Adott jelre a versenyzők futni kezdtek., Adott szó : ígéret.,Tartja az adott szavát."
adottság,4,"Öröklött képességek, tulajdonságok összessége.",fn,"~ot,~a","Előnyös adottságai segítik az érvényesülésben.,(hivatalos) (Általában többes számban:) Meglévő körülmények.,A környezeti adottságok meghatározzák a település fejlődését."
adó-vevő,1,Kereskedéssel foglalkozó (személy).,mn,"~t,~je","Nagykereskedéseket és vásárokat járó, adó-vevő ember lett belőle.,Rádióhullámok sugárzására és felfogására szolgáló (készülék, berendezés).,Az adó-vevő készüléket maga javítja.,(Főnévi használatban:) A rádióamatőrök rövidhullámú adó-vevővel dolgoznak."
adu,4,"Kártyajátékban a többit ütő szín, illetve kártyalap.",fn,"~t,~ja","Tök az adu.,Osztáskor nem kapott egy adut sem.,(bizalmas) Döntő érv.,A vita végén állt elő az aduval."
áfonya,2,Hegyvidéki erdőkben tenyésző örökzöld cserje.,fn,"*k,*t,*ja","Az erdőben galagonya és áfonya is él.,Ennek ehető bogyója.,Az áfonya fanyar, de finom.,Délután áfonyát szedtünk az erdőben.,A bogyóból készült dzsem vagy fagylalt.,Vaddisznósültet kérek áfonyával.,Két gombóc áfonyát kérek!"
ág,5,Fa törzséből kinövő erős hajtás.,fn,"~at,~a","Télen a fák ágai kopaszon nyúlnak a magasba.,Folyóvíznek vele egyesülő vagy tőle elváló része.,A folyó bal oldali ága hajózható.,Rokonsági, leszármazási vonal.,Apai ágon tanítók az ősei.,Ismeretrendszer, tevékenység része, részterülete.,A nyelvtudománynak sok ága van."
aga,2,(régi) Tiszt az oszmán-török hadseregben.,fn,"*k,*t,~ja","„Ferhád agát, a jobbszárny vezérét, halva hozták a vezér elé, lándzsákra fektetve” (Jókai M.: Erdély aranykora)."
ágál,3,Beszéd közben erősen gesztikulál.,ige,,"Az öreg színész régiesen, ágálva adta elő a verset.,Hevesen, indulatosan vitatkozik.,A képviselő hosszan ágált a törvényjavaslat mellett.,A ház lakói ágáltak a közös képviselő ellen."
agancs,2,Hím szarvasok fején található többágú szarvféle.,fn,"~ot,~a","Hullatott agancsot keresnek az erdőben.,A két szarvas dühösen akasztotta össze agancsát."
agár,3,"Hegyes orrú, hosszú lábú, nyúlánk vadászkutyafajta.",fn,,Kedvence az afgán agár.
ágas,2,"(~an) Ágakra bomló, ágakban végződő.",mn,~at,Keress egy ágas fát!
ágas,2,"(népi) Többágú tartóoszlop, pózna.",fn,"~t,~a",Az elmosott tejesköcsögöt az ágasra akasztotta száradni.
ágas-bogas,1,Sokfelé ágazó.,mn,"~t,vagy,~at,~an","Gyerekkorában szívesen időzött az öreg fa ágas-bogas koronáján.,Bonyolult, szövevényes.,Nehezen igazodik el a gazdasági élet ágas-bogas kérdéseiben."
ágazat,4,"Fa, bokor ágainak összessége.",fn,"~ot,~a","Szépre sikerült alakítania a körtefa ágazatát.,Ismeretrendszer, tevékenység részterülete, ága.,A mezőgazdaság két fő ágazata az állattenyésztés és a növénytermesztés."
agg,4,(választékos) Nagyon idős.,mn,"~ot,~on","Agg kora ellenére friss a szelleme.,(Főnévi használatban:) Beköltözött az aggok otthonába."
aggály,4,Aggódó bizonytalanság.,fn,"~t,~a","Aggállyal szemléli a helyzet alakulását.,Bízom benne, hogy sikerül a terv, de aggályaim is vannak."
aggastyán,4,"(választékos) Nagyon idős, tiszteletet keltő férfi.",fn,"~t,~ja","Tisztelettel övezik a bölcs aggastyánokat.,(Jelzőként:) Aggastyán kora ellenére sem jött meg az esze."
aggaszt,4,Aggodalmat kelt valakiben.,ige,,"Aggasztja, hogy sokat fáj a feje.,Aggasztja a gyerekei sorsa."
aggat,3,"(Több tárgyat) egymás után akaszt, függeszt valahová.",ige,,"Mézeskalács díszeket aggatott a karácsonyfára.,(rosszalló) Aggat valakire valamit : illet valamivel.,Bátortalan osztálytársukra gúnyneveket aggatnak."
agglegény,3,"Idősebb férfi, aki sohasem nősült meg.",fn,,"Az idős asszony a fiával él, aki agglegény."
aggodalom,4,Bajtól való félelem.,fn,,"Aggodalommal gondol arra, hogy kicsúszik a határidőből., Aggodalomra semmi ok : nem kell megijedni, minden rendben (lesz).,Aggodalomra semmi ok, a hibát elhárítottuk."
ágrólszakadt,2,Elhanyagolt külsejű.,mn,"~at,~an","Miért mászkálsz folyton ilyen ágrólszakadtan?,(Főnévi használatban:) Elhanyagolt, szegény ember.,Megsajnálta szegény ágrólszakadtat."
agronómus,2,A mezőgazdasági termelést irányító szakember.,fn,"~t,~a",Az agronómusokat főiskolákon és egyetemeken képzik.
agy,5,Agyvelő.,fn,"~at,~a","Az emberi agy két féltekéből áll.,Észbeli képesség.,Jó agya van., Nem fog az agya vagy tompa az agya : nem tud gondolkodni.,Késő van, ilyenkor már nem fog az agyam.,Ettől a fülledt időtől egész nap tompa az agyam.,| Átvillan az agyán vagy megfordul az agyában valami : (hirtelen) eszébe jut.,Egy pillanatra átvillant az agyán egy sötét gondolat, de gyorsan elhessegette.,Megfordult az agyában, hogy otthagyja az iskolát, de végül mégis leérettségizett.,| Befészkelte magát az agyába valami : folyton azon jár az esze.,Befészkelte magát az agyamba a költözködés gondolata.,| Kipattan az agyából valami : hirtelen kitalálja.,Egyszer csak kipattant az agyából egy remek ötlet .,| (bizalmas) Használd az agyadat!,: gondolkodj.,| Az agyára megy valaki vagy valami : a) meghibban tőle.,Úgy tűnik, agyára ment a sok munka.,b) idegesíti.,Agyamra mész az örökös fecsegéseddel!,Az agyamra megy már ez a zene.,Kocsi kerekének hengeres középső része, ahol a tengelyhez kapcsolódik, és ahol a küllők összefutnak.,A kerék agyáig süppedt sárba a szekér.,A puska, pisztoly kiszélesedő hátsó része.,A puska agyát álla alá támasztva célzott.,Görcsösen szorongatta a pisztoly agyát."
ágy,5,Fekvőhelyként szolgáló bútordarab.,fn,"~at,~a","A földre vetett ágyat magának.,Hálószobájában az ágy foglalja el a legnagyobb helyet., Megveti az ágyat : előkészíti a lefekvéshez.,Fogmosás előtt még megveti az ágyat a hálóban.,| Ágynak dől vagy esik : megbetegszik.,Éppen karácsonykor dőlt ágynak.,Ágynak esett influenzával.,| Nyomja az ágyat : betegeskedik.,Hetek óta súlyos tüdőgyulladással nyomja az ágyat.,| A halálos ágyán : súlyos betegen, a halála előtt.,A halálos ágyán is befejezetlen regényével foglalkozott.,Kórházi férőhely.,Ezer kórházi ágy van a városban.,Nem tudunk több beteget felvenni, nincs több üres ágyunk.,(bizalmas) Ágynemű.,Tiszta ágyat húz.,(választékos) A folyó ágya : a folyó medre.,Tíz kilométert gyalogoltunk a kiszáradt folyó ágyában.,Ágyás.,A veteményeskertben ágyat készít a palántáknak."
agyafúrt,2,"Találékony eszű (ember), illetve ilyen emberre jellemző, tőle származó.",mn,"~at,~an","Nem sikerült túljárnia az agyafúrt szomszéd eszén.,Agyafúrt megoldást eszelt ki."
agyag,4,Finom szemcsés üledékes kőzet.,fn,"~ot,~ja","Ha ásol még, agyagot is találsz.,Nedvesen képlékeny, jól formálható anyag.,A fazekas agyagból megformázza, majd kemencében kiégeti a korsókat.,Agyagos sár.,Két ló alig tudta megmozdítani az agyagba beleragadt szekeret."
agyalágyult,4,(gúnyos) Szellemi képességek híján levő (személy).,mn,"~at,~an","Hogy lehet ilyen agyalágyultan viselkedni?,Jól kioktattad azt az agyalágyult vénembert!,(Főnévi használatban:) Nehezen viseli el a munkahelyén a sok agyalágyultat."
agyar,3,Egyes emlősállatok kiálló szemfoga.,fn,"~t,~a","A sebzett vadkan agyarával felhasította a vadász oldalát.,Az elefántnak letört az egyik agyara.,(tréfás) Ember szemfoga.,Úgy vigyorgott, hogy kilátszottak az agyarai."
ágyás,3,"Virágos- vagy veteményeskert szabályos alakú, kisebb, egyforma növényekkel beültetett része.",fn,"~t,~a","Az egyik ágyást tulipánnal, a másikat nárcisszal ültette tele."
ágyaz,3,Hálóhelyet készít vagy rendbe rak.,ige,,"Szükségből a földre ágyazott.,Puha anyagba helyez, csomagol valamit.,A lámpaburát papírforgácsok közé ágyazza, hogy a költözéskor ne törjön el.,Ágyást készít.,Mielőtt elveti a retket, gondosan ágyaz neki."
agyba-főbe,2,"Kíméletlenül, nagyon.",hsz,,"Agyba-főbe verte a szegény gyereket.,Túlzóan, mértéktelenül.,Agyba-főbe dicséri a tanítványait."
ágyék,3,Az emberi testnek a nemi szervet is magába foglaló alhasi része.,fn,"~ot,~a",Kendőt köt az ágyéka elé.
agymosás,2,"Valakinek a nézeteit, gondolkodásmódját befolyásolni, megváltoztatni próbáló erőszakos ráhatás.",fn,,"Abban az időben nem volt ritka a politikai agymosás.,Árad a televízióból az agymosás."
ágynemű,4,"Alváshoz, ágyazáshoz használt párna, takaró, illetve párnák, takarók összessége.",fn,"~k,~t,~je","Kirakta szellőzni az ágyneműt.,A párna, takaró levehető huzata és a lepedő.,Mosásba adja az ágyneműt.,Vett két garnitúra ágyneműt."
agyondicsér,2,"Túlzottan, mértéktelenül, agyba-főbe dicsér valakit, valamit.",ige,,"Agyondicsérte a filmet, pedig nem is jó."
agyondolgoztat,1,"Erején felül dolgoztat valakit, valamit.",ige,,Agyondolgoztatja a munkásait és a lovait is.
agyonüt,3,"Ütéssel elpusztít valakit, valamit.",ige,~ni,"Agyonüti a csótányt.,(Villám, áram) belecsap valakibe és agyonsújtja.,Agyonütötte a villám.,(bizalmas) Elront, tönkretesz valamit.,A rikító tapéta agyonütötte a berendezés összhangját.,(bizalmas) (Szabad időt) eltölt valamivel.,Rejtvényfejtéssel üti agyon a várakozás idejét."
agyrém,3,"(választékos) Beteges félelem szülte látomás, rémkép.",fn,,"Éjszakánként agyrémekkel küzd.,(bizalmas) Meghökkentő, ellenszenves, megvalósíthatatlan ötlet.,Agyrém, amit kitaláltál."
ágytál,2,"Lapos, nyeles vagy fogantyús edény, amelybe a fekvő betegek vagy kisgyermekek szükségüket végezhetik.",fn,,A mozgásképtelen betegnek ágytálat hoz az ápolónő.
ágyú,4,Nagyobb lövedéket lapos röppályán kilövő löveg.,fn,"~t,~ja",A szabadságharc idején Gábor Áron harangokból öntetett ágyúkat.
agyvelő,4,"Az ember és a gerinces állatok központi idegrendszerének a koponyában elhelyezkedő, kocsonyás állagú központi, vezérlő része.",fn,,"A robbanáskor szétloccsant az agyveleje.,(bizalmas) Ész, észjárás, gondolkodásmód.,Öreg korára meghibbant az agyveleje., Csavaros az agyveleje : furfangos, eszes.,| Híg az agyveleje : gyenge szellemi képességű, korlátolt."
agyvérzés,3,Az agyi verőerek megbetegedése következtében kialakuló érfalrepedés.,fn,"~ek,~t,~e","Súlyos agyvérzés érte, emiatt a bal oldala megbénult, és egy ideig beszélni sem tudott."
ah,5,"(kissé régi vagy választékos) (Elégedettség, öröm, bánat, óhaj kifejezésére:) Ah, mily kellemes itt!",isz,,"Ah, de kár, hogy nem jöhettek el!,Ah, be jó volna, ha sikerülne találkoznunk!"
áhít,3,"(választékos) Óhajt valamit, nagyon vágyik valamire.",ige,,Nyugalmat áhít a sok vita után.
áhítat,4,"Vallásos elmélyülés, illetve rövidebb istentisztelet.",fn,"~ot,~a","Részt vett a közös áhítaton.,Csodálat, megilletődéssel párosuló tisztelet.,Áhítattal hallgatta a nagy költő szavait."
áhítatos,3,Megilletődöttséggel áthatott.,mn,"~t,vagy,~at,~an","A templomban áhítatos csönd honolt.,Megilletődött tisztelettel, csodálattal teli (személy).,A gyermekek áhítatosan figyelték a művész munkáját."
ahol,5,Amely helyen.,hsz,,"Üti, ahol éri.,Bárhol, amilyen sok helyen.,Ahol csak megjelenik, feltűnést kelt."
ahonnan,4,"Amely helyről, irányból.",hsz,,"A falucska, ahonnan érkezett, az országhatár közelében fekszik.,Bárhonnan, amilyen sok helyről.,Onnan kap, ahonnan csak akar."
ahova,4,"Amely helyre, irányban.",hsz,,"A fodrászat, ahova járok, a belvárosban van.,Bárhova, amilyen sok helyre.,Ahova csak megy, mindenütt szeretettel fogadják."
AIDS,4,"Az immunrendszernek jelenleg gyógyíthatatlan, de elővigyázatossággal megelőzhető, testváladékkal és nemi úton terjedő fertőző betegsége.",fn,"~et,~e",Sajnos már Magyarországon is egyre többen kapják meg az AIDS-et.
ajak,4,"Az ember (és az emlősállatok) szájának külső, izmos, pirosas széle.",fn,"vagy,~a","Mosolyra nyílik az ajka.,Beszívja az alsó ajkát.,(választékos) Száj, beszélőszerv.,Dalra nyílik az ajka., A nép ajka : a nép beszéde.,A mesék, mondák a nép ajkán élnek.,A nép ajkán másképp hangzik ez a szó.,Egyes virágok sziromleveleinek ajakhoz hasonlóan összenőtt része.,A virág ajkán csillog a harmat."
ajándék,5,"Valakinek ingyen, szívességből, figyelmességből, szeretetből adott dolog.",fn,"~ot,~a","Könyvet veszek ajándékba a barátomnak., (bizalmas) Ez szinte ajándék ennyiért : nagyon olcsó.,| (választékos) A sors ajándékának tekinti : rendkívül nagyra értékeli."
ajánl,5,Használatra javasol valamit.,ige,,"Egy jó könyvet ajánlott barátjának.,Ezt a módszert nem ajánlják.,Munkára, szerepre, társnak javasol valakit.,Őt ajánlották a megüresedett helyre.,Ajánlottak egy lányt feleségnek., Valakinek a jóindulatába vagy pártfogásába ajánl valakit : kéri, hogy támogassa.,A kollégák az igazgató jóindulatába ajánlották az új munkaerőt.,Egy barátja ajánlotta a nagy író pártfogásába.,| Valakinek a figyelmébe ajánl valamit : figyelmezteti, felhívja a figyelmét rá.,A tanítványaim figyelmébe ajánlottam az új helyesírási szabályzatot.,(Cselekvést, magatartást) tanácsol.,Ajánlom, hogy fogadj szót.,Tiszteletből neki szóló sorokkal lát el valamit.,Könyvét hajdani tanárának ajánlja.,(régi) (Búcsúzó köszönésként:) Ajánlom magamat!,Kínál, ígér valamit.,Új kerékpárt ajánl megvételre.,Tízezer forintot ajánlottam érte.,Elfogadásra javasol valamit.,Jó üzletet ajánlottak neki.,Ajánlva : ajánlott küldeményként, ajánlottan.,Ezt a csomagot ajánlva add fel!"
ajánlott,4,"(Iskolában:) Olyan (mű), amelyet a tananyaghoz kapcsolódóan ajánlatos elolvasni.",mn,"~at,~an","A tanár lediktálta az ajánlott olvasmányokat.,Az ajánlott irodalmat a fejezetek végén találod.,Olyan (küldemény), amelyet a posta felelősséggel továbbít, különös gonddal kezel.,Ajánlott levele érkezett!,Az ajánlott küldemény átvételét aláírásunkkal kell igazolnunk."
ajnároz,2,(népi) Túlzottan kényeztet valakit.,ige,,Nagyanyó ajnározza az unokáit.
ájtatos,3,A vallási buzgólkodást kedvelő (személy).,mn,"~at,~an","Ájtatos asszonyok igyekeznek a templom felé.,Így elmondott (ima) vagy elénekelt (ének).,Ájtatos imádság hallatszott a templomból.,(gúnyos) Szenteskedő, képmutató.,Az csak egy ájtatos vénasszony!,Ájtatos képpel hallgatta a dorgálást., Ájtatos manó : a) sáskaszerű ragadozó rovar.,Láttunk egy természetfilmet az ájtatos manókról.,b) álszent, képmutató, jóindulatot színlelő ember.,Most kimutatta a foga fehérjét az az ájtatos manó."
ajtó,5,"Épület, jármű, bútor nyílása, illetve nyitható-csukható része.",fn,"~t,vagy,~ja","Ajtót vágtak a két szoba közé.,Nem szeretem, ha tárva-nyitva marad az ajtó."
ajtónálló,1,"(régi) Palota, fogadóterem bejáratánál szolgálatot teljesítő őr.",fn,"~t,~ja",Az ajtónálló nem akarta beengedni őket.
ájul,3,Eszméletét vesztve valahova zuhan.,ige,,A karjaiba ájult egy nő a villamoson.
akác,4,"Tövises ágú, fürtös virágú, páratlanul szárnyalt levelű fa.",fn,"~ot,~a","Az Alföld egyik legelterjedtebb fája az akác.,Az utat akácok szegélyezték.,Ennek faanyaga.,A kerítés akácból készült.,Akácvirág.,Nyílik az illatos, fehér akác."
akad,5,Korlátozva van a mozgásban.,ige,,"Akad a kulcs a zárban.,Valamibe (véletlenül) beleütközve, beleakadva ott marad.,Horogra akad a hal.,Bogáncs akad a ruhájába.,Almahéj akadt a foga közé.,(Rá)bukkan valakire, valamire.,Jótevőkre akadt.,Kezébe akadt egy jó könyv.,Adódik, lehet találni.,Mindig akad egy jóbarát.,A szövegben akad néhány hiba is."
akadály,5,"A szabad mozgás, előrejutás útjában álló tárgy.",fn,"~t,~a","Elvitték a sérült buszt, így megszűnt a forgalmi akadály.,Futó, illetve ló és lovas ügyességét próbára tevő korlát vagy vizesárok.,Szerencsésen átvitte az akadályt.,Fejlődést, valamely célra irányuló tevékenységet gátló körülmény.,Akadályt gördítettek eléje, de leküzdötte.,Mindennek a végére jár, nem ismer akadályt."
