word,frequency,word_class,word_endings,example_sentences
ad,5,ige,,"Átnyújt, eljuttat, rendelkezésre bocsát valakinek valamit. Adjatok több teát a gyereknek! : kezet nyújt. Találkozáskor kezet adtak egymásnak. Ő is ad valamennyit jótékony célra. Termet ad a műsorhoz. Adom a hívott felet. Pénzért árul. Hogy adja a tojást? Foglalót ad a házra. (Ruhát) húz valakire, valamire. Pizsamát ad a gyerekre. Hozzátesz valamit valamihez. Három tojást ad a piskótatésztához. Biztosít valamit, lehetőséget teremt valakinek. Jogot ad a fellebbezésre. Helyet ad a padon egy idős úrnak. Munkát ad a friss diplomásnak. Időt ad a felkészülésre. : magántanítás során oktat. Órát ad német nyelvből. Létrehoz, eredményez, okoz, előidéz valamit. A kísérlet jó eredményt adott. Ez a duda túl éles hangot ad. Jelt ad az (Terméket, energiát) szolgáltat. Ez a tehén napi 10 liter tejet ad. A kandalló kellemes meleget ad. A követség ma este fogadást ad. Műsoron van, játsszák. Mit adnak ma az Operában? (Televízió- vagy rádiócsatorna) közvetít valamit. Ezt a mérkőzést a tévé is adja. Taníttat, küld, enged valakit valaminek. Műszerésznek adta a fiát. Egy orvoshoz adja feleségül a lányát. (Kifejezésekben:) Kinyilvánít, közöl valamit. írásba az ígéretét! állítja, hogy igaz (Kifejezésben:) Bizonyos cselekvést végez, teljesít. Hétfőig kell választ adnom a munkaajánlatra. (Fenyegetésként:) : megbünteti. Ad valakire, valamire : fontosnak tartja. Az ő véleményére sokat adok. Túl sokat ad a külsejére."
adag,4,fn,ot ja,Meghatározott mennyiség valamiből. Az új mosóporból kisebb adag is elegendő. Evett egy nagy adag somlói
adakoz|ik,3,ige,,"Adományt ad valaki, valami megsegítésére. Adakozzatok a szegények javára!"
adalék,4,fn,ot a,"(választékos) Kiegészítő részlet, adat. Újabb adalékokkal járult hozzá a kérdés tisztázásához."
ádámcsutka,1,fn,,"Férfiak nyakán előredudorodó porc. Ahogy nyelt, ugrott egyet az ádámcsutkája."
ádámkosztüm,1,fn,,"Ádámkosztümben : meztelenül, ruhátlanul. Ádámkosztümben állt ott, és szégyellte magát."
adandó,4,mn,,"mn (választékos) Esetleges, későbbi. Adandó alkalommal : ha alkalom lesz rá. Adandó alkalommal meglátogatlak benneteket."
adás,4,fn,t a,"Az a cselekvés, hogy valaki valamit ad. Nagy dolog az adás képessége. Karácsonykor ajándék adásával is kifejezzük szeretetünket a hozzánk közel állóknak. Rádió-, illetve televízióközvetítés, műsor. Az adásban előforduló hanghibáért elnézésüket kérjük. Adásunkat szombat délután megismételjük."
adásvétel,4,fn,,"Valamely dolog eladásának, illetve megvételének jogügylete. Gyorsan lebonyolították a ház adásvételét."
adat,5,fn,ot a,"Valakire, valamire jellemző (nyilvántartott) tény, részlet. Az értékbecsléshez szükség van a lakás pontos adataira. A nyomozók fontos adatokat derítettek ki a feltételezett elkövetőkről. Személyi adatok: személyről hivatalosan nyilvántartott legfontosabb tények összessége. Beírta az űrlapra személyi adatait. Újabb terhelő adatokat sorolt fel a vádlott Számszerű eredmény. Ellenőrzi a mérési adatokat. Vizsgálati, kutatási alapul szolgáló tény. A nyelvjárásgyűjtőktől kapott adatokat a nyelvészek előbb rendszerezik, azután értékelik, elemzik."
adatbank,3,fn,,"(Számítógépen tárolt) információk, adatok rendezett gyűjteménye. A központi egészségügyi adatbank segítségével pillanatok alatt megállapítják, hogy az elhunyt veséje mely betegek számára alkalmas átültetésre."
adatlap,3,fn,,"fn (hivatalos) Adatoknak a felvételére szolgáló űrlap. Kitöltötte az adatlapot, s a négyes ablaknál beadta az ügyintézőnek."
ádáz,4,mn,at an ul,"Ellenséges indulatú (személy, állat), illetve rá jellemző. Az ádáz ellenség földúlta az egész országot. Ádáz haraggal fordult"
addig,4,hsz,,"A megjelölt (távolabbi) helyig, ideig. Csak addig menjetek, ameddig ismeritek a járást! Addig halogatta az indulást, hogy végül elkésett."
adjonisten,1,fn,,"(Köszöntésként:) „Adjonisten, Jézusunk, Jézusunk! Három király mi vagyunk” (József A.: Betlehemi királyok)."
adó,3,fn,t ja,"Rádió- vagy tévéadások információit hordozó, nagyfrekvenciás rezgéseket előállító berendezés. A Kossuth adó URH-sávon is sugároz műsort."
adó,5,fn,t ja,Rendszeres állami bevétel. A jövedelem után kötelező adót fizetni.
adód|ik,4,ige,,"Előfordul, véletlenül van. Ilyen lehetőség nem adódik egyhamar újra. Ha úgy adódik, kérj segítséget! Az üzemzavar áramkimaradásból adódott."
adogat,4,ige,,"Darabonként vagy több részletben egymás után átad. A kőműves keze alá adogatja a téglát. Apránként zálogba adogatja a Több játékos a labdát egymás között adja-kapja. A csatárok addig adogattak, míg az ellenfél játékosai közbe nem A labda elütésével ismételten elindítja, kezdeményezi a játékot. A két teniszező közül most ő adogat."
adoma,2,fn,,"(választékos) Rövid, vidám, csattanós történet. Esténként borozgatás közben adomákat meséltek egymásnak."
adomány,4,fn,t a,"Jótékony támogatás, hozzájárulás. Adományokat gyűjt. Adománnyal segíti a szegényeket."
adós,5,mn,at t an,"Olyan (személy), aki valakinek tartozik. Nem maradunk neki adósak a válasszal : jól odamondogatunk neki. | Adós valakinek tartozik vele. Adós vagy nekem egy látogatással. Sokkal vagyok adósa : sok hálával tartozom neki. | : megtorolom a sérelmet. (Főnévi használatban:) Hogy visszaszerezhesse pénzét, be kellett perelnie adósát."
adósság,5,fn,ot a,Hatvanezer forint adóssága van. Sok adósságot csinál.
adott,5,mn,at an,"Szóban forgó, (akkor és ott) létező. Az adott körülmények között ez volt a legjobb megoldás. Egy bizonyos, meghatározott. Adott jelre a versenyzők futni kezdtek. Tartja az adott szavát."
adottság,4,fn,ot a,"Öröklött képességek, tulajdonságok összessége. Előnyös adottságai segítik az érvényesülésben. (hivatalos) (Általában többes számban:) Meglévő körülmények. A környezeti adottságok meghatározzák a település fejlődését."
adó-vevő,1,mn,t je,"Kereskedéssel foglalkozó (személy). Nagykereskedéseket és vásárokat járó, adó-vevő ember lett belőle. Rádióhullámok sugárzására és felfogására szolgáló (készülék, berendezés). Az adó-vevő készüléket maga javítja. (Főnévi használatban:) rádióamatőrök rövidhullámú adó-vevővel dolgoznak."
adóz|ik,4,ige,,"Minden jövedelme után becsületesen adózik. (választékos) Valamivel adózik valakinek, valaminek kinyilvánítja véleményét, érzelmeit vele kapcsolatban. Tisztelettel adózik annak, aki fölnevelte"
adu,4,fn,t ja,"Kártyajátékban a többit ütő szín, illetve kártyalap. Tök az adu. Osztáskor nem kapott egy adut sem. (bizalmas) Döntő érv. A vita végén állt elő az aduval."
áfonya,2,fn,,"Hegyvidéki erdőkben tenyésző örökzöld cserje. Az erdőben galagonya és áfonya is él. Ennek ehető bogyója. fanyar, de finom. Délután áfonyát szedtünk az erdőben. A bogyóból készült dzsem vagy fagylalt. Vaddisznósültet kérek áfonyával. Két gombóc áfonyát kérek!"
ág,5,fn,at a,"Fa törzséből kinövő erős hajtás. Télen a fák ágai kopaszon nyúlnak a magasba. Folyóvíznek vele egyesülő vagy tőle elváló része. A folyó bal oldali ága hajózható. Rokonsági, leszármazási vonal. Apai ágon tanítók az ősei. Ismeretrendszer, tevékenység része, részterülete. A nyelvtudománynak sok ága van."
aga,2,fn,ja,"Tiszt az oszmán-török hadseregben. „Ferhád agát, a jobbszárny vezérét, halva hozták a vezér elé, lándzsákra fektetve” M.: Erdély aranykora)."
ágál,3,ige,,"Beszéd közben erősen gesztikulál. Az öreg színész régiesen, ágálva adta elő a verset. Hevesen, indulatosan vitatkozik. képviselő hosszan ágált a törvényjavaslat mellett. A ház lakói ágáltak a közös képviselő ellen."
agancs,2,fn,ot a,Hím szarvasok fején található többágú szarvféle. Hullatott agancsot keresnek az erdőben. A két szarvas dühösen akasztotta össze agancsát.
agár,3,fn,,"agarak, agarat, agara Hegyes orrú, hosszú lábú, nyúlánk vadászkutyafajta. Kedvence az afgán agár."
ágas i.,2,mn,at an,"ak, ~at, (~an) Ágakra bomló, ágakban végződő. Keress egy ágas fát!"
ágas ii.,2,fn,t a,"Többágú tartóoszlop, pózna. Az elmosott tejesköcsögöt az ágasra akasztotta száradni."
ágas-bogas,1,mn,t at an,"Sokfelé ágazó. Gyerekkorában szívesen időzött az öreg fa ágas-bogas koronáján. Bonyolult, szövevényes. igazodik el a gazdasági élet ágas-bogas kérdéseiben."
ágaskod|ik,3,ige,,"Lábujjhegyen áll, és fölfelé nyújtózkodik. Kicsi gyerek még, csak ágaskodva éri el a villanykapcsolót. (Indulat, erős érzelem) feltámad, forr valakiben. Hiába ágaskodott benne a harag, hallgatnia kellett."
ágazat,4,fn,ot a,"Fa, bokor ágainak összessége. Szépre sikerült alakítania a körtefa ágazatát. Ismeretrendszer, tevékenység részterülete, A mezőgazdaság két fő ágazata az állattenyésztés és a növénytermesztés."
ágaz|ik,2,ige,ni,"Ágak formájára nő, terjed. A gesztenyefa gyökerei messzire ágaznak. (Folyó) ágakra szakad. Csepelnél a Duna kétfelé (Tevékenység) megoszlik, többféle dologra irányul. A cég tevékenysége sokfelé ágazik."
agg,4,mn,ot on,(választékos) Agg kora ellenére friss a szelleme. (Főnévi használatban:) Beköltözött az aggok otthonába.
aggály,4,fn,t a,"Aggódó bizonytalanság. Aggállyal szemléli a helyzet alakulását. Bízom benne, hogy sikerül a terv, de aggályaim is vannak."
aggastyán,4,fn,t ja,"(választékos) Nagyon idős, tiszteletet keltő férfi. Tisztelettel övezik a bölcs aggastyánokat. Aggastyán kora ellenére sem jött meg"
aggaszt,4,ige,,"Aggodalmat kelt valakiben. Aggasztja, hogy sokat fáj a feje. Aggasztja a gyerekei sorsa."
aggat,3,ige,,"(Több tárgyat) egymás után akaszt, függeszt valahová. Mézeskalács díszeket aggatott a karácsonyfára. valakire valamit : illet valamivel. Bátortalan osztálytársukra gúnyneveket aggatnak."
agglegény,3,fn,,"Idősebb férfi, aki sohasem nősült meg. Az idős asszony a fiával él, aki agglegény."
aggodalom,4,fn,,"aggodalmak, aggodalmat, aggodalma Bajtól való félelem. Aggodalommal gondol arra, hogy kicsúszik a határidőből. Aggodalomra semmi ok : nem kell megijedni, minden rendben (lesz). Aggodalomra semmi ok, a hibát elhárítottuk."
aggód|ik,5,ige,,"Aggodalmat érez. Aggódik, hogy nem tudja a kitűzött időre befejezni a munkát. Az édesanya aggódik beteg gyermekéért."
ágrólszakadt,2,mn,at an,"Elhanyagolt külsejű. Miért mászkálsz folyton ilyen ágrólszakadtan? (Főnévi használatban:) Elhanyagolt, szegény ember. Megsajnálta szegény ágrólszakadtat."
agronómus,2,fn,t a,A mezőgazdasági termelést irányító szakember. Az agronómusokat főiskolákon és egyetemeken képzik.
agy,5,fn,at a,"Az emberi agy két féltekéből áll. Észbeli képesség. Nem fog az agya tompa az agya tud gondolkodni. Késő van, ilyenkor már nem fog az agyam. Ettől a fülledt időtől egész nap tompa az agyam. megfordul az agyában valami : (hirtelen) eszébe jut. Egy pillanatra átvillant az agyán egy sötét gondolat, de gyorsan elhessegette. Megfordult az agyában, hogy otthagyja az iskolát, de végül mégis leérettségizett. Befészkelte magát az agyába valami : folyton azon jár az esze. Befészkelte magát az agyamba a költözködés gondolata. Kipattan az agyából valami hirtelen kitalálja. Egyszer csak kipattant az agyából egy remek ötlet . | (bizalmas) Használd az agyadat! : gondolkodj. | agyára megy valaki meghibban tőle. Úgy tűnik, agyára ment a sok munka. Agyamra mész az örökös fecsegéseddel! Az agyamra megy már ez a zene. Kocsi kerekének hengeres középső része, ahol a tengelyhez kapcsolódik, és ahol a küllők összefutnak. A kerék agyáig süppedt sárba a szekér. A puska, pisztoly kiszélesedő hátsó része. A puska agyát álla alá támasztva célzott. Görcsösen szorongatta a pisztoly agyát."
ágy,5,fn,at a,"Fekvőhelyként szolgáló bútordarab. A földre vetett ágyat magának. Hálószobájában az ágy foglalja el a legnagyobb helyet. Megveti az ágyat : előkészíti a lefekvéshez. Fogmosás előtt még megveti az ágyat a hálóban. megbetegszik. Éppen karácsonykor dőlt ágynak. Ágynak esett influenzával. Nyomja az ágyat : betegeskedik. Hetek óta súlyos tüdőgyulladással nyomja az ágyat. A halálos ágyán : súlyos betegen, a halála előtt. A halálos ágyán is befejezetlen regényével foglalkozott. Kórházi férőhely. Ezer kórházi ágy van a városban. Nem tudunk több beteget felvenni, nincs több üres ágyunk. (bizalmas) Ágynemű. Tiszta ágyat húz. (választékos) : a folyó medre. Tíz kilométert gyalogoltunk a kiszáradt folyó ágyában. A veteményeskertben ágyat készít a palántáknak."
agyafúrt,2,mn,at an,"Találékony eszű (ember), illetve ilyen emberre jellemző, tőle származó. Nem sikerült túljárnia az agyafúrt szomszéd eszén. Agyafúrt megoldást eszelt ki."
agyag,4,fn,ot ja,"Finom szemcsés üledékes kőzet. Ha ásol még, agyagot is találsz. Nedvesen képlékeny, jól formálható anyag. agyagból megformázza, majd kemencében kiégeti a korsókat. Két ló alig tudta megmozdítani az agyagba beleragadt szekeret."
agyalágyult,4,mn,at an,Szellemi képességek híján levő (személy). Hogy lehet ilyen agyalágyultan viselkedni? Jól kioktattad azt az agyalágyult (Főnévi használatban:) Nehezen viseli el a munkahelyén a sok agyalágyultat.
agyar,3,fn,t a,"Egyes emlősállatok kiálló szemfoga. A sebzett vadkan agyarával felhasította a vadász oldalát. Az elefántnak letört az egyik (tréfás) Ember szemfoga. Úgy vigyorgott, hogy kilátszottak az agyarai."
ágyás,3,fn,t a,"Virágos- vagy veteményeskert szabályos alakú, kisebb, egyforma növényekkel beültetett része. Az egyik ágyást tulipánnal, a másikat nárcisszal ültette tele."
ágyaz,3,ige,,"Hálóhelyet készít vagy rendbe rak. Szükségből a földre ágyazott. Puha anyagba helyez, csomagol valamit. papírforgácsok közé ágyazza, hogy a költözéskor ne törjön el. Ágyást készít. Mielőtt elveti a retket, gondosan ágyaz neki."
agyba-főbe,2,hsz,,"Kíméletlenül, nagyon. Agyba-főbe verte a szegény gyereket. Túlzóan, mértéktelenül. Agyba-főbe dicséri a tanítványait."
ágyék,3,fn,ot a,Az emberi testnek a nemi szervet is magába foglaló alhasi része. Kendőt köt az ágyéka elé.
agymosás,2,fn,,"Valakinek a nézeteit, gondolkodásmódját befolyásolni, megváltoztatni próbáló erőszakos ráhatás. Abban az időben nem volt ritka a politikai agymosás. Árad a televízióból az agymosás."
ágynemű,4,fn,k t je,"Alváshoz, ágyazáshoz használt párna, takaró, illetve párnák, takarók összessége. Kirakta szellőzni az ágyneműt. takaró levehető huzata és a lepedő. Mosásba adja az ágyneműt. Vett két garnitúra ágyneműt."
agyondicsér,2,ige,,"Túlzottan, mértéktelenül, agyba-főbe dicsér valakit, valamit. Agyondicsérte a filmet, pedig nem is jó."
agyondolgoztat,1,ige,,"agyondolgoztat Erején felül dolgoztat valakit, valamit. Agyondolgoztatja a munkásait és a lovait is."
agyonüt,3,ige,ni,"Ütéssel elpusztít valakit, valamit. Agyonüti a csótányt. (Villám, áram) belecsap valakibe és agyonsújtja. Agyonütötte a (bizalmas) Elront, tönkretesz valamit. A rikító tapéta agyonütötte a berendezés összhangját. (bizalmas) (Szabad időt) eltölt valamivel. Rejtvényfejtéssel üti agyon a várakozás idejét."
agyrém,3,fn,,"(választékos) Beteges félelem szülte látomás, rémkép. Éjszakánként agyrémekkel küzd. (bizalmas) Meghökkentő, ellenszenves, megvalósíthatatlan ötlet. Agyrém, amit kitaláltál."
ágytál,2,fn,,"Lapos, nyeles vagy fogantyús edény, amelybe a fekvő betegek vagy kisgyermekek szükségüket végezhetik. A mozgásképtelen betegnek ágytálat hoz az ápolónő."
ágyú,4,fn,t ja,Nagyobb lövedéket lapos röppályán kilövő löveg. A szabadságharc idején Gábor Áron harangokból öntetett ágyúkat.
agyvelő,4,fn,,"Az ember és a gerinces állatok központi idegrendszerének a koponyában elhelyezkedő, kocsonyás állagú központi, vezérlő A robbanáskor szétloccsant az agyveleje. (bizalmas) Ész, észjárás, gondolkodásmód. Öreg korára meghibbant az Csavaros az agyveleje : furfangos, eszes. | Híg az agyveleje : gyenge szellemi képességű, korlátolt."
agyvérzés,3,fn,ek t e,"Az agyi verőerek megbetegedése következtében kialakuló érfalrepedés. Súlyos agyvérzés érte, emiatt a bal oldala megbénult, és egy ideig beszélni sem tudott."
ah,5,isz,,"isz (kissé régi vagy választékos) (Elégedettség, öröm, bánat, óhaj kifejezésére:) Ah, mily kellemes itt! Ah, de kár, hogy nem jöhettek el! Ah, be jó volna, ha sikerülne találkoznunk!"
áhít,3,ige,,"(választékos) Óhajt valamit, nagyon vágyik valamire. Nyugalmat áhít a sok vita után."
áhítat,4,fn,ot a,"Vallásos elmélyülés, illetve rövidebb istentisztelet. Részt vett a közös áhítaton. Csodálat, megilletődéssel párosuló Áhítattal hallgatta a nagy költő szavait."
áhítatos,3,mn,t at an,"Megilletődöttséggel áthatott. A templomban áhítatos csönd honolt. Megilletődött tisztelettel, csodálattal teli (személy). gyermekek áhítatosan figyelték a művész munkáját."
ahol,5,hsz,,"vonatkozó hsz Amely helyen. Üti, ahol éri. Bárhol, amilyen sok helyen. Ahol csak megjelenik, feltűnést kelt."
ahonnan,4,hsz,,"vonatkozó hsz Amely helyről, irányból. A falucska, ahonnan érkezett, az országhatár közelében fekszik. Bárhonnan, amilyen sok helyről. Onnan kap, ahonnan csak akar."
ahova,4,hsz,,"vonatkozó hsz Amely helyre, irányban. A fodrászat, ahova járok, a belvárosban van. Bárhova, amilyen sok helyre. Ahova csak megy, mindenütt szeretettel fogadják."
aids,4,fn,et e,"Az immunrendszernek jelenleg gyógyíthatatlan, de elővigyázatossággal megelőzhető, testváladékkal és nemi úton terjedő fertőző betegsége. Sajnos már Magyarországon is egyre többen kapják meg az AIDS-et."
ajak,4,fn,a,"ajkak, ajkat, ajka Az ember (és az emlősállatok) szájának külső, izmos, pirosas széle. Mosolyra nyílik az ajka. Beszívja az alsó ajkát. (választékos) Száj, beszélőszerv. Dalra nyílik az ajka. : a nép beszéde. A mesék, mondák a nép ajkán élnek. A nép ajkán másképp hangzik ez a szó. Egyes virágok sziromleveleinek ajakhoz hasonlóan összenőtt része. A virág ajkán csillog a harmat."
ajándék,5,fn,ot a,"Valakinek ingyen, szívességből, figyelmességből, szeretetből adott dolog. Könyvet veszek ajándékba a barátomnak. Ez szinte ajándék ennyiért : nagyon olcsó. | (választékos) A sors ajándékának tekinti : rendkívül nagyra értékeli."
ajánl,5,ige,,"Használatra javasol valamit. Egy jó könyvet ajánlott barátjának. Ezt a módszert nem ajánlják. Munkára, szerepre, társnak javasol valakit. Őt ajánlották a megüresedett helyre. Ajánlottak egy lányt feleségnek. Valakinek a jóindulatába pártfogásába ajánl valakit : kéri, hogy támogassa. A kollégák az igazgató jóindulatába ajánlották az új munkaerőt. Egy barátja ajánlotta a nagy író pártfogásába. Valakinek a figyelmébe ajánl valamit : figyelmezteti, felhívja a figyelmét rá. A tanítványaim figyelmébe ajánlottam az új helyesírási szabályzatot. (Cselekvést, magatartást) tanácsol. Ajánlom, hogy fogadj szót. Tiszteletből neki szóló sorokkal lát el valamit. Könyvét hajdani tanárának ajánlja. (régi) (Búcsúzó köszönésként:) Ajánlom magamat! Kínál, ígér valamit. Új kerékpárt ajánl megvételre. Tízezer forintot ajánlottam érte. javasol valamit. Jó üzletet ajánlottak neki. : ajánlott küldeményként, ajánlottan. Ezt a csomagot ajánlva add fel!"
ajánlott,4,mn,at an,"(Iskolában:) Olyan (mű), amelyet a tananyaghoz kapcsolódóan ajánlatos elolvasni. A tanár lediktálta az ajánlott olvasmányokat. Az ajánlott irodalmat a fejezetek végén találod. Olyan (küldemény), amelyet a posta felelősséggel továbbít, különös gonddal kezel. Ajánlott levele érkezett! Az ajánlott küldemény átvételét aláírásunkkal kell igazolnunk."
ajnároz,2,ige,,Túlzottan kényeztet valakit. Nagyanyó ajnározza az unokáit.
ájtatos,3,mn,at an,"A vallási buzgólkodást kedvelő (személy). Ájtatos asszonyok igyekeznek a templom felé. Így elmondott (ima) vagy elénekelt (ének). Ájtatos imádság hallatszott a templomból. (gúnyos) Szenteskedő, képmutató. Az csak egy ájtatos Ájtatos képpel hallgatta a dorgálást. sáskaszerű ragadozó rovar. Láttunk egy természetfilmet az ájtatos manókról. álszent, képmutató, jóindulatot színlelő ember. Most kimutatta a foga fehérjét az az ájtatos manó."
ajtó,5,fn,t ja,"k, ~t, ajtaja vagy Épület, jármű, bútor nyílása, illetve nyitható-csukható része. Ajtót vágtak a két szoba közé. Nem szeretem, ha tárva-nyitva marad az ajtó."
ajtónálló,1,fn,t ja,"Palota, fogadóterem bejáratánál szolgálatot teljesítő őr. Az ajtónálló nem akarta beengedni őket."
ájul,3,ige,,Eszméletét vesztve valahova zuhan. A karjaiba ájult egy nő a villamoson.
akác,4,fn,ot a,"Tövises ágú, fürtös virágú, páratlanul szárnyalt levelű fa. Az Alföld egyik legelterjedtebb fája az akác. Az utat akácok szegélyezték. Ennek faanyaga. A kerítés akácból készült. Nyílik az illatos, fehér akác."
akad,5,ige,,"Korlátozva van a mozgásban. Akad a kulcs a zárban. Valamibe (véletlenül) beleütközve, beleakadva ott marad. akad a hal. Bogáncs akad a ruhájába. Almahéj akadt a foga közé. (Rá)bukkan valakire, valamire. Jótevőkre akadt. Kezébe akadt egy jó könyv. Adódik, lehet találni. Mindig akad egy jóbarát. A szövegben akad néhány hiba is."
akadály,5,fn,t a,"A szabad mozgás, előrejutás útjában álló tárgy. Elvitték a sérült buszt, így megszűnt a forgalmi akadály. Futó, illetve ló és lovas ügyességét próbára tevő korlát vagy vizesárok. Szerencsésen átvitte az akadályt. Fejlődést, valamely célra irányuló tevékenységet gátló körülmény. Akadályt gördítettek eléje, de leküzdötte. Mindennek a végére jár, nem ismer akadályt."
akadékoskod|ik,2,ige,,"Fölöslegesen, esetleg rosszindulatúan ellenvetéseket tesz. A szerződés megkötésekor folyamatosan akadékoskodott."
akadémia,4,fn,,"Tekintélyes tudósokból választott, a tudományos kutatást irányító országos testület. Az Akadémia levelező tagja lett. Ülésezik Ennek épülete. A közgyűlés az Akadémián lesz. Szabadon látogatható előadássorozat, tanfolyam. akadémiára jár. (Fv) Közművelődési tanfolyamokat szervező intézmény. A Művelődési Akadémia a felnőttek művelődésével foglalkozó legnagyobb intézmény Szlovákiában. Főiskolai jellegű szakiskola. Katonai akadémiát végzett. Egyetemi szintű oktatási intézmény. A főiskolát a minisztérium akadémiává minősítette. (Fv, Va, Őv) (A szakközépiskolák egyik típusaként:) (Fv, Őv) Kereskedelmi akadémia : közgazdasági szakközépiskola. A fia tizenhat éves, kereskedelmi akadémiára jár."
akadémikus i.,3,fn,t a,akadémikus I. A tudományos akadémia tagja. Akadémikussá választották. A konferenciát egy idős akadémikus nyitotta meg.
akadémikus ii.,3,mn,at an,"akadémikus II. Elméleti, elvont, a gyakorlat szempontjából kevéssé hasznos. Ez akadémikus vita, nincs értelme."
